,Unnamed: 0,Date,Drought
0,0,2012-01-01,0.26
1,1,2012-02-01,0.52
2,2,2012-03-01,-0.84
3,3,2012-04-01,-1.12
4,4,2012-05-01,-2.21
5,5,2012-06-01,-3.42
6,6,2012-07-01,-4.7
7,7,2012-08-01,-5.41
8,8,2012-09-01,-5.67
9,9,2012-10-01,-5.38
10,10,2012-11-01,-5.66
11,11,2012-12-01,-5.53
12,12,2013-01-01,-5.2
13,13,2013-02-01,-4.73
14,14,2013-03-01,-4.86
15,15,2013-04-01,0.18
16,16,2013-05-01,0.51
17,17,2013-06-01,0.02
18,18,2013-07-01,0.14
19,19,2013-08-01,0.14
20,20,2013-09-01,0.29
21,21,2013-10-01,1.14
22,22,2013-11-01,0.92
23,23,2013-12-01,0.95
24,24,2014-01-01,-0.3
25,25,2014-02-01,-0.46
26,26,2014-03-01,-0.74
27,27,2014-04-01,-1.02
28,28,2014-05-01,-1.42
29,29,2014-06-01,0.88
30,30,2014-07-01,0.75
31,31,2014-08-01,1.4
32,32,2014-09-01,1.37
33,33,2014-10-01,-0.28
34,34,2014-11-01,0.18
35,35,2014-12-01,0.2
36,36,2015-01-01,0.27
37,37,2015-02-01,0.28
38,38,2015-03-01,-0.78
39,39,2015-04-01,-0.74
40,40,2015-05-01,2.94
41,41,2015-06-01,3.02
42,42,2015-07-01,3.95
43,43,2015-08-01,4.04
44,44,2015-09-01,2.95
45,45,2015-10-01,3.21
46,46,2015-11-01,3.86
47,47,2015-12-01,4.65
48,48,2016-01-01,4.21
49,49,2016-02-01,3.76
50,50,2016-03-01,3.07
51,51,2016-04-01,4.2
52,52,2016-05-01,4.31
53,53,2016-06-01,3.38
54,54,2016-07-01,3.59
55,55,2016-08-01,3.99
56,56,2016-09-01,4.0
57,57,2016-10-01,-0.34
58,58,2016-11-01,-0.8
59,59,2016-12-01,-0.67
60,60,2017-01-01,-0.11
61,61,2017-02-01,-0.27
62,62,2017-03-01,-0.63
63,63,2017-04-01,0.58
64,64,2017-05-01,-0.14
65,65,2017-06-01,-0.85
66,66,2017-07-01,-1.17
67,67,2017-08-01,0.85
68,68,2017-09-01,0.97
69,69,2017-10-01,0.98
70,70,2017-11-01,-0.74
71,71,2017-12-01,-0.99
72,72,2018-01-01,-1.43
73,73,2018-02-01,-1.04
74,74,2018-03-01,-1.32
75,75,2018-04-01,-1.42
76,76,2018-05-01,-2.08
77,77,2018-06-01,-2.24
78,78,2018-07-01,-2.23
79,79,2018-08-01,-2.09
80,80,2018-09-01,0.46
81,81,2018-10-01,2.1
82,82,2018-11-01,2.03
83,83,2018-12-01,2.81
84,84,2019-01-01,2.93
85,85,2019-02-01,3.2
86,86,2019-03-01,3.78
87,87,2019-04-01,3.79
88,88,2019-05-01,5.94
89,89,2019-06-01,5.78
90,90,2019-07-01,6.17
91,91,2019-08-01,6.9
92,92,2019-09-01,6.71
93,93,2019-10-01,6.86
94,94,2019-11-01,6.55
95,95,2019-12-01,6.2
96,96,2020-01-01,6.22
97,97,2020-02-01,6.2
98,98,2020-03-01,6.25
99,99,2020-04-01,-0.2
100,100,2020-05-01,-0.14
101,101,2020-06-01,-0.55
102,102,2020-07-01,0.6
103,103,2020-08-01,-0.61
104,104,2020-09-01,-0.82
105,105,2020-10-01,-0.73
106,106,2020-11-01,-1.34
107,107,2020-12-01,-1.47
108,108,2021-01-01,-1.42
109,109,2021-02-01,-1.74
110,110,2021-03-01,-1.76
111,111,2021-04-01,-1.92
112,112,2021-05-01,-1.29
113,113,2021-06-01,-2.01
114,114,2021-07-01,-2.33
115,115,2021-08-01,-2.32
116,116,2021-09-01,-3.06
117,117,2021-10-01,-2.37
118,118,2021-11-01,-3.0
119,119,2021-12-01,-3.28
120,120,2022-01-01,-3.62
